	YW1	YW2	YW3	YW4	YW5	YW6	YW7	YW8
ENSG00000010278	1668	1901	2177	2274	1617	1865	1886	1810
ENSG00000010282	0	2	4	0	2	3	5	2
ENSG00000010292	21604	21615	26608	28215	14479	21319	24414	23088
ENSG00000010295	2700	2502	3031	3447	2243	2716	2629	2972
ENSG00000010310	20	40	39	46	16	40	23	30
ENSG00000010318	214	311	357	487	197	283	302	309
ENSG00000010319	316	367	431	511	317	397	367	411
ENSG00000010322	6330	6516	7465	9546	4220	6826	6757	7084
ENSG00000010327	27	40	29	42	17	19	19	27
ENSG00000010361	1552	1586	1804	2315	1372	1629	1610	1739
ENSG00000010379	4	6	10	23	13	14	9	10
ENSG00000010404	185	181	230	204	65	205	179	234
ENSG00000010438	0	0	0	0	0	0	0	0
ENSG00000010539	709	798	993	1133	671	768	932	810
ENSG00000010610	2	6	2	6	1	0	5	4
ENSG00000010626	135	155	175	188	137	117	168	147
ENSG00000010671	13	14	17	24	19	11	9	4
ENSG00000010704	0	0	0	0	0	4	0	2
ENSG00000010803	1522	1656	2044	2146	1165	1618	1748	1736
ENSG00000010810	3019	3355	3941	4129	2614	3130	3222	3258
ENSG00000010818	1275	1494	1738	1836	604	1231	1440	1436
ENSG00000010932	1	4	0	2	1	1	1	0
ENSG00000011007	4145	3859	5277	4840	3165	4183	4617	4242
ENSG00000011009	2886	2273	2745	3066	2415	3100	2704	2889
ENSG00000011021	617	649	785	902	421	612	661	671
ENSG00000011028	1647	1932	1851	2638	1125	1724	1638	1883
ENSG00000011052	0	0	0	0	0	0	0	0
ENSG00000011083	0	1	0	1	0	0	0	0
ENSG00000011105	1643	1594	1885	2063	1169	1699	1682	1793
ENSG00000011114	450	442	611	598	153	493	531	522
ENSG00000011132	733	666	719	889	596	795	663	833
ENSG00000011143	1222	1281	1514	1724	1064	1270	1399	1349
ENSG00000011198	896	910	1258	1185	806	947	1167	914
ENSG00000011201	966	1020	1381	1371	744	965	1212	1091
ENSG00000011243	3613	3476	4253	4837	3088	3758	3890	3810
ENSG00000011258	2028	2451	2823	3254	1571	2238	2655	2239
ENSG00000011260	4858	4463	6180	6083	4814	4836	5840	5115
ENSG00000011275	2833	2695	3438	3616	2280	2914	3207	3185
ENSG00000011295	2791	2915	3614	3963	2732	2956	3299	3165
ENSG00000011304	28796	26440	31330	34723	21016	31696	29776	31599
ENSG00000011332	601	530	681	736	553	620	660	653
ENSG00000011347	227	233	254	314	161	217	221	251
ENSG00000011376	4410	3843	5163	5225	3046	4306	4838	4608
ENSG00000011405	3854	4462	5984	5809	2659	4260	5305	4536
ENSG00000011422	183	186	211	232	138	162	173	188
ENSG00000011426	6229	6661	9293	8872	4885	6458	8058	6955
ENSG00000011451	5971	5148	5980	6802	4149	5848	5594	6433
ENSG00000011454	2107	2371	2886	3092	1473	2119	2502	2259
ENSG00000011465	1	4	3	2	1	3	0	2
ENSG00000011478	659	561	710	853	704	761	691	785
ENSG00000011485	6579	5991	7391	8264	5536	6848	7335	6962
ENSG00000011523	1212	1367	1656	1809	994	1320	1456	1412
